"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 22 13:45:57 MSK 2025","Wed Jan 22 13:46:01 MSK 2025","3963","tests","test_ultimateqa_ui","","","","КВыбор автомобиля Audi",""
"passed","Wed Jan 22 13:44:48 MSK 2025","Wed Jan 22 13:44:52 MSK 2025","4141","tests","test_ultimateqa_ui_po","","","","Выбор радио-кнопки female",""
"passed","Wed Jan 22 13:45:24 MSK 2025","Wed Jan 22 13:45:28 MSK 2025","4085","tests","test_ultimateqa_ui_po","","","","КВыбор автомобиля Audi",""
"passed","Wed Jan 22 13:45:39 MSK 2025","Wed Jan 22 13:45:48 MSK 2025","9008","tests","test_ultimateqa_ui","","","","Ввод текста в форму",""
"passed","Wed Jan 22 13:46:01 MSK 2025","Wed Jan 22 13:46:04 MSK 2025","3065","tests","test_ultimateqa_ui","","","","Проверка текста в ячейке таблицы",""
"passed","Wed Jan 22 13:45:49 MSK 2025","Wed Jan 22 13:45:53 MSK 2025","4315","tests","test_ultimateqa_ui","","","","Выбор радио-кнопки female",""
"passed","Wed Jan 22 13:45:36 MSK 2025","Wed Jan 22 13:45:39 MSK 2025","2952","tests","test_ultimateqa_ui","","","","Клик на ссылку по относительному пути",""
"passed","Wed Jan 22 13:45:31 MSK 2025","Wed Jan 22 13:45:36 MSK 2025","5015","tests","test_ultimateqa_ui","","","","Клик на кнопке по атрибуту name",""
"passed","Wed Jan 22 13:45:53 MSK 2025","Wed Jan 22 13:45:57 MSK 2025","3589","tests","test_ultimateqa_ui","","","","Выбор чекбокса Bike",""
"passed","Wed Jan 22 13:44:38 MSK 2025","Wed Jan 22 13:44:48 MSK 2025","9752","tests","test_ultimateqa_ui_po","","","","Ввод текста в форму",""
"broken","Wed Jan 22 13:44:52 MSK 2025","Wed Jan 22 13:45:23 MSK 2025","31032","tests","test_ultimateqa_ui_po","","","","Выбор чекбокса Bike",""
"passed","Wed Jan 22 13:45:28 MSK 2025","Wed Jan 22 13:45:31 MSK 2025","3029","tests","test_ultimateqa_ui_po","","","","Проверка текста в ячейке таблицы",""
